City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,bereznik,62.8551,42.7072,280.4,77,100,2.66,RU,1746421822
282,brecon,51.9461,-3.3889,276.22,83,6,2.31,GB,1746421823
283,qamdo,31.1667,97.2333,283.47,35,84,1.02,CN,1746421824
284,ugu,26.7833,80.3333,309.8,23,83,5.0,IN,1746421825
285,kavaratti,10.5669,72.642,302.71,68,18,4.95,IN,1746421826
286,puerto san jose,13.9256,-90.8244,303.03,84,100,3.53,GT,1746421828
287,mejit,10.2753,170.8646,300.25,79,88,7.36,MH,1746421829
288,bilibino,68.0546,166.4372,269.38,68,3,0.57,RU,1746421830
289,gadzhiyevo,69.2551,33.3362,272.85,81,100,8.37,RU,1746421831
290,ngama,11.7833,17.1667,301.22,13,89,3.46,TD,1746421832
291,keflavik,64.0049,-22.5624,281.39,100,100,10.29,IS,1746421833
292,kone,-21.0595,164.8658,294.31,89,100,1.88,NC,1746421834
293,fort st. john,56.2499,-120.8529,278.78,41,50,1.62,CA,1746421822
294,vila franca do campo,37.7167,-25.4333,286.38,90,99,1.48,PT,1746421836
295,hithadhoo,-0.6,73.0833,302.58,70,100,3.13,MV,1746421837
296,withernsea,53.7311,0.0335,281.1,85,65,7.11,GB,1746421838
297,vorgashor,67.5833,63.95,271.85,86,16,3.03,RU,1746421840
298,kargasok,59.0556,80.8572,284.23,54,96,2.29,RU,1746421841
299,nadi,-17.8,177.4167,302.15,65,40,2.06,FJ,1746421842
300,khandyga,62.6667,135.6,280.49,52,99,3.08,RU,1746421843
301,bella union,-30.2752,-57.6007,292.49,69,79,3.31,UY,1746421600
302,al bahah,20.0129,41.4677,289.61,64,1,1.15,SA,1746421838
303,ledbury,52.0364,-2.4263,276.58,87,18,2.99,GB,1746421846
304,nemuro,43.3236,145.575,280.86,89,99,3.02,JP,1746421847
305,huilong,31.8111,121.655,293.79,86,100,5.29,CN,1746421848
306,gofitskoye,45.0792,43.0464,287.71,75,32,3.43,RU,1746421849
307,alpena,45.0617,-83.4327,280.33,65,0,4.12,US,1746421850
308,tadine,-21.55,167.8833,297.36,64,100,3.76,NC,1746421619
309,laguna,38.421,-121.4238,295.37,25,0,5.66,US,1746421853
310,rongelap,11.1635,166.8941,300.55,78,28,7.72,MH,1746421854
311,haiku-pauwela,20.9219,-156.3051,296.51,81,40,7.72,US,1746421855
312,katsuura,35.1333,140.3,289.89,78,80,6.8,JP,1746421856
313,ulanhot,46.0833,122.0833,288.7,17,25,2.48,CN,1746421857
314,port saint john's,-31.6229,29.5448,289.19,64,0,3.24,ZA,1746421858
315,tagiura,32.8817,13.3506,297.64,42,100,3.01,LY,1746421859
316,buta,2.7858,24.73,294.71,99,100,0.46,CD,1746421860
317,plettenberg bay,-34.0527,23.3716,289.19,44,39,2.23,ZA,1746421645
318,autazes,-3.5797,-59.1306,297.34,87,70,1.15,BR,1746421864
319,svedala,55.5079,13.2352,274.27,100,2,0.51,SE,1746421865
320,sitka,57.0531,-135.33,282.09,61,100,7.72,US,1746421866
321,margate,51.3813,1.3862,280.2,78,70,0.89,GB,1746421867
322,ugoofaaru,5.6667,73.0,302.75,74,42,4.37,MV,1746421868
323,santa marta de ortigueira,43.6833,-7.85,286.62,100,100,7.41,ES,1746421869
324,portland,45.5234,-122.6762,286.07,64,2,0.89,US,1746421203
325,pandan,14.0453,124.1694,303.94,67,92,1.89,PH,1746421871
326,happy valley-goose bay,53.3168,-60.3315,274.32,93,100,5.14,CA,1746421872
327,barah,13.7,30.3667,296.69,15,85,6.55,SD,1746421874
328,yucca valley,34.1142,-116.4322,284.95,79,96,2.16,US,1746421875
329,pontianak,-0.0333,109.3333,306.14,62,75,1.54,ID,1746421876
